"ARTIKEL","PLAATS","ARTIKELOMSCHRIJVING","MAAT","VOORRAAD","REFERENTIE","BARCODE"
"              980549","VR-01-20","              980549-CLAY-D LG ZW  ESD PU/PU S3 METAL FREE","43","10","106430","8715316150210"
"              995549","VR-01-20","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","48","10","106430","8715316150562"
"              181548","VR-01-21","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              332546","VR-01-21","              332546-AMAZONE-D HG ZW S3 PU/PU ST.PL","42","10","106430","8715316137013"
"              714546","VR-01-21","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","44","10","106430","8715316060403"
"              730548","VR-01-21","              730548-LUKAS-D HG ZW S3 OVN  PU","40","10","106430","8715316044397"
"              730548","VR-01-21","              730548-LUKAS-D HG ZW S3 OVN  PU","46","10","106430","8715316044458"
"              730848","VR-01-21","              730848-BILLY-D HG ZW S3  OVN PD","45","10","106430","8715316044922"
"              760546","VR-01-21","              760546-RANGER-D HG GRIJS S3 PUR/PUR","43","10","106430","8715316074790"
"              787547","VR-01-21","              787547-DAYTONA-D SND S1P PU METAL FREE","42","10","106430","8715316147562"
"              939868","VR-01-21","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","43","10","106430","8715316093500"
"              994569","VR-01-21","              994569-DONOVAN-XD HGBR ESD PU/PU S3 METAL FREE","44","10","106430","8715316150074"
"              181548","VR-01-22","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              714540","VR-01-22","              714540-VENUS-D INST ZW  S2  PU","43","10","106430","8715316047176"
"              730548","VR-01-22","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              730848","VR-01-22","              730848-BILLY-D HG ZW S3  OVN PD","41","10","106430","8715316044885"
"              730848","VR-01-22","              730848-BILLY-D HG ZW S3  OVN PD","45","10","106430","8715316044922"
"              731568","VR-01-22","              731568-LUKAS-XD HG ZW S3 OVN  PU","43","10","106430","8715316044540"
"              760546","VR-01-22","              760546-RANGER-D HG GRIJS S3 PUR/PUR","42","10","106430","8715316074783"
"              794566","VR-01-22","              794566-VENUS-XD INS ZW S3  PUR  ISP","40","10","106430","8715316075766"
"              950549","VR-01-22","              950549-JORDAN-D HG BL ESD PU METAL FREE S1P","40","10","106430","8715316146282"
"              995549","VR-01-22","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","40","10","106430","8715316150487"
"              112090","VR-01-23","              112090-MARCO-D LGBR S3 PRE ESD AGO (FRONTIER 112)","43","10","106430","8715316104275"
"              181548","VR-01-23","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","10","106430","8715316021978"
"              701560","VR-01-23","              701560-ROY-XD LG ZW  S2  PU","46","10","106430","8715316020476"
"              714546","VR-01-23","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","44","10","106430","8715316060403"
"              714546","VR-01-23","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","45","10","106430","8715316060410"
"              720546","VR-01-23","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","41","10","106430","8715316073731"
"              730548","VR-01-23","              730548-LUKAS-D HG ZW S3 OVN  PU","46","10","106430","8715316044458"
"              787547","VR-01-23","              787547-DAYTONA-D SND S1P PU METAL FREE","42","10","106430","8715316147562"
"              980549","VR-01-23","              980549-CLAY-D LG ZW  ESD PU/PU S3 METAL FREE","48","10","106430","8715316150265"
"               80430","VR-01-24","               80430-NITRO","46","80","106430","7340093606387"
"              331868","VR-01-25","              331868-BRYCE-XD MF HG ZW S3 OVN PD ST.PL","44","10","106430","8715316136139"
"              534863","VR-01-25","              534863-MACK M XD HG/ZW  S3 OVN PD WK","42","10","106430","8715316091612"
"              540868","VR-01-25","              540868-VULCANUS-XD   LAS ZW S3 OVN  PD","41","10","106430","8715316023262"
"              714540","VR-01-25","              714540-VENUS-D INST ZW  S2  PU","43","10","106430","8715316047176"
"              720546","VR-01-25","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","42","10","106430","8715316073748"
"              730848","VR-01-25","              730848-BILLY-D HG ZW S3  OVN PD","41","10","106430","8715316044885"
"              761566","VR-01-25","              761566-RANGER-XD HG GRIJS S3  PUR/PUR","44","10","106430","8715316074929"
"              939868","VR-01-25","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","43","10","106430","8715316093500"
"              995549","VR-01-25","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","40","10","106430","8715316150487"
"              995549","VR-01-25","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","44","10","106430","8715316150524"
"              331868","VR-01-26","              331868-BRYCE-XD MF HG ZW S3 OVN PD ST.PL","42","10","106430","8715316136115"
"              700848","VR-01-26","              700848-BAS-D LG ZW S3 OVN PD","43","10","106430","8715316020322"
"              714546","VR-01-26","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","44","10","106430","8715316060403"
"              714546","VR-01-26","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","45","10","106430","8715316060410"
"              730548","VR-01-26","              730548-LUKAS-D HG ZW S3 OVN  PU","40","10","106430","8715316044397"
"              730548","VR-01-26","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              730548","VR-01-26","              730548-LUKAS-D HG ZW S3 OVN  PU","46","10","106430","8715316044458"
"              730848","VR-01-26","              730848-BILLY-D HG ZW S3  OVN PD","45","10","106430","8715316044922"
"              794566","VR-01-26","              794566-VENUS-XD INS ZW S3  PUR  ISP","40","10","106430","8715316075766"
"              980549","VR-01-26","              980549-CLAY-D LG ZW  ESD PU/PU S3 METAL FREE","43","10","106430","8715316150210"
"              701560","VR-01-27","              701560-ROY-XD LG ZW  S2  PU","46","10","106430","8715316020476"
"              720546","VR-01-27","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","42","10","106430","8715316073748"
"              730548","VR-01-27","              730548-LUKAS-D HG ZW S3 OVN  PU","40","10","106430","8715316044397"
"              731568","VR-01-27","              731568-LUKAS-XD HG ZW S3 OVN  PU","43","10","106430","8715316044540"
"              760546","VR-01-27","              760546-RANGER-D HG GRIJS S3 PUR/PUR","42","10","106430","8715316074783"
